Municipio,Dados
Angra dos Reis,203 785
Aperibé,11 759
Araruama,132 400
Areal,12 572
Armação dos Búzios,40 532
Arraial do Cabo,30 349
Barra do Piraí,100 374
Barra Mansa,184 412
Belford Roxo,510 906
Bom Jardim,27 446
Bom Jesus do Itabapoana,37 096
Cabo Frio,219 863
Cachoeiras de Macacu,58 937
Cambuci,15 505
Campos dos Goytacazes,507 548
Cantagalo,20 172
Carapebus,16 301
Cardoso Moreira,12 823
Carmo,18 895
Casimiro de Abreu,44 184
Comendador Levy Gasparian,8 561
Conceição de Macabu,23 228
Cordeiro,21 926
Duas Barras,11 492
Duque de Caxias,919 596
Engenheiro Paulo de Frontin,14 002
Guapimirim,60 517
Iguaba Grande,28 310
Itaboraí,240 592
Itaguaí,133 019
Italva,15 207
Itaocara,23 234
Itaperuna,103 224
Itatiaia,31 805
Japeri,104 768
Laje do Muriaé,7 355
Macaé,256 672
Macuco,5 599
Magé,245 071
Mangaratiba,44 468
Maricá,161 207
Mendes,18 614
Mesquita,176 103
Miguel Pereira,25 538
Miracema,27 174
Natividade,15 317
Nilópolis,162 485
Niterói,513 584
Nova Friburgo,190 631
Nova Iguaçu,821 128
Paracambi,52 257
Paraíba do Sul,44 285
Paraty,43 165
Paty do Alferes,27 769
Petrópolis,306 191
Pinheiral,25 156
Piraí,29 277
Porciúncula,18 847
Porto Real,19 683
Quatis,14 302
Queimados,150 319
Quissamã,24 700
Resende,131 341
Rio Bonito,60 201
Rio Claro,18 529
Rio das Flores,9 284
Rio das Ostras,150 674
Rio de Janeiro,6.718.903
Santa Maria Madalena,10 404
Santo Antônio de Pádua,42 479
São Fidélis,38 669
São Francisco de Itabapoana,42 205
São Gonçalo,1.084.839
São João da Barra,36 102
São João de Meriti,472 406
São José de Ubá,7 171
São José do Vale do Rio Preto,21 795
São Pedro da Aldeia,104 476
São Sebastião do Alto,9 357
Sapucaia,18 228
Saquarema,89 170
Seropédica,82 312
Silva Jardim,21 774
Sumidouro,15 623
Tanguá,34 309
Teresópolis,182 594
Trajano de Moraes,10 626
Três Rios,81 804
Valença,76 523
Varre-Sai,11 010
Vassouras,36 896
Volta Redonda,273 012
