NOME,poptotal,CODBAIRRO,REGIAO_ADM,CODRA,AREA_PLANE,RP,Cod_RP
Abolição                  ,11356,70,MEIER                   ,13,3,Méier,3.2
Acari                     ,27347,111,PAVUNA                  ,25,3,Pavuna,3.6
Água Santa                ,8756,67,MEIER                   ,13,3,Méier,3.2
Alto da Boa Vista         ,9343,34,TIJUCA                  ,8,2,Tijuca,2.2
Anchieta                  ,55652,107,ANCHIETA                ,22,3,Pavuna,3.6
Andaraí                   ,39365,37,VILA ISABEL             ,9,2,Tijuca,2.2
Anil                      ,24172,116,JACAREPAGUA             ,16,4,Jacarepaguá,4.1
Bancários                 ,12512,97,ILHA DO GOVERNADOR      ,20,3,Ilha do Governador,3.7
Bangu,214953,141,BANGU                   ,17,5,Bangu,5.1
Barra da Tijuca           ,135924,128,BARRA DA TIJUCA         ,24,4,Barra da Tijuca,4.2
Barra de Guaratiba        ,3577,152,GUARATIBA               ,26,5,Guaratiba,5.4
Barros Filho              ,14049,112,PAVUNA                  ,25,3,Pavuna,3.6
Benfica                   ,25081,12,SAO CRISTOVAO           ,7,1,Centro,1.1
Bento Ribeiro             ,43707,89,MADUREIRA               ,15,3,Madureira,3.3
Bonsucesso                ,18711,40,RAMOS                   ,10,3,Ramos,3.1
Botafogo                  ,82890,20,BOTAFOGO                ,4,2,Zona Sul,2.1
Brás de Pina              ,59222,45,PENHA                   ,11,3,Penha,3.5
Cachambi                  ,42415,65,MEIER                   ,13,3,Méier,3.2
Cacuia                    ,11013,93,ILHA DO GOVERNADOR      ,20,3,Ilha do Governador,3.7
Caju                      ,20477,4,PORTUARIA               ,1,1,Centro,1.1
Camorim                   ,1970,129,BARRA DA TIJUCA         ,24,4,Barra da Tijuca,4.2
Campinho                  ,10156,78,MADUREIRA               ,15,3,Madureira,3.3
Campo dos Afonsos         ,1365,136,REALENGO                ,33,5,Bangu,5.1
Campo Grande,328370,144,CAMPO GRANDE            ,18,5,Campo Grande,5.2
Cascadura                 ,34456,82,MADUREIRA               ,15,3,Madureira,3.3
Catete                    ,24057,18,BOTAFOGO                ,4,2,Zona Sul,2.1
Catumbi                   ,12556,6,RIO COMPRIDO            ,3,1,Centro,1.1
Cavalcanti                ,16141,80,MADUREIRA               ,15,3,Madureira,3.3
Centro                    ,29555,5,CENTRO                  ,2,1,Centro,1.1
Cidade de Deus            ,36515,118,CIDADE DE DEUS          ,34,4,Jacarepaguá,4.1
Cidade Nova               ,5466,8,RIO COMPRIDO            ,3,1,Centro,1.1
Cidade Universitária      ,1556,105,ILHA DO GOVERNADOR      ,20,3,Ilha do Governador,3.7
Cocotá                    ,4877,96,ILHA DO GOVERNADOR      ,20,3,Ilha do Governador,3.7
Coelho Neto               ,32423,110,PAVUNA                  ,25,3,Pavuna,3.6
Colégio                   ,29245,77,IRAJA                   ,14,3,Madureira,3.3
Complexo do Alemão        ,69143,156,COMPLEXO DO ALEMÃO      ,29,3,Inhaúma,3.4
Copacabana                ,146392,24,COPACABANA              ,5,2,Zona Sul,2.1
Cordovil                  ,45202,46,VIGARIO GERAL           ,31,3,Penha,3.5
Cosme Velho               ,7178,19,BOTAFOGO                ,4,2,Zona Sul,2.1
Cosmos                    ,77007,147,CAMPO GRANDE            ,18,5,Campo Grande,5.2
Costa Barros              ,28442,113,PAVUNA                  ,25,3,Pavuna,3.6
Curicica                  ,31189,119,JACAREPAGUA             ,16,4,Jacarepaguá,4.1
Del Castilho              ,15610,53,INHAUMA                 ,12,3,Inhaúma,3.4
Deodoro                   ,10842,134,REALENGO                ,33,5,Bangu,5.1
Encantado                 ,15021,68,MEIER                   ,13,3,Méier,3.2
Engenheiro Leal           ,6113,81,MADUREIRA               ,15,3,Madureira,3.3
Engenho da Rainha         ,26659,55,INHAUMA                 ,12,3,Inhaúma,3.4
Engenho de Dentro         ,45540,66,MEIER                   ,13,3,Méier,3.2
Engenho Novo              ,42172,61,MEIER                   ,13,3,Méier,3.2
Estácio                   ,17189,9,RIO COMPRIDO            ,3,1,Centro,1.1
Flamengo                  ,50043,15,BOTAFOGO                ,4,2,Zona Sul,2.1
Freguesia (Ilha)          ,19437,98,ILHA DO GOVERNADOR      ,20,3,Ilha do Governador,3.7
Freguesia (Jacarepaguá)   ,70511,120,JACAREPAGUA             ,16,4,Jacarepaguá,4.1
Galeão                    ,22971,104,ILHA DO GOVERNADOR      ,20,3,Ilha do Governador,3.7
Gamboa                    ,13108,2,PORTUARIA               ,1,1,Centro,1.1
Gardênia Azul             ,17715,117,JACAREPAGUA             ,16,4,Jacarepaguá,4.1
Gávea                     ,16003,29,LAGOA                   ,6,2,Zona Sul,2.1
Gericinó,15167,160,BANGU                   ,17,5,Bangu,5.1
Glória                    ,9661,16,BOTAFOGO                ,4,2,Zona Sul,2.1
Grajaú                    ,38671,38,VILA ISABEL             ,9,2,Tijuca,2.2
Grumari                   ,167,133,BARRA DA TIJUCA         ,24,4,Barra da Tijuca,4.2
Guadalupe                 ,47144,106,ANCHIETA                ,22,3,Pavuna,3.6
Guaratiba                 ,110049,151,GUARATIBA               ,26,5,Guaratiba,5.4
Higienópolis              ,15734,50,INHAUMA                 ,12,3,Inhaúma,3.4
Honório Gurgel            ,21989,87,MADUREIRA               ,15,3,Madureira,3.3
Humaitá                   ,13285,21,BOTAFOGO                ,4,2,Zona Sul,2.1
Inhaúma                   ,45698,54,INHAUMA                 ,12,3,Inhaúma,3.4
Inhoaíba                  ,64649,146,CAMPO GRANDE            ,18,5,Campo Grande,5.2
Ipanema                   ,42743,25,LAGOA                   ,6,2,Zona Sul,2.1
Irajá                     ,96382,76,IRAJA                   ,14,3,Madureira,3.3
Itanhangá                 ,38415,127,BARRA DA TIJUCA         ,24,4,Barra da Tijuca,4.2
Jabour,5346,163,BANGU,17,5,Bangu,5.1
Jacaré                    ,9276,51,MEIER                   ,13,3,Méier,3.2
Jacarepaguá               ,157326,115,JACAREPAGUA             ,16,4,Jacarepaguá,4.1
Jacarezinho               ,37839,155,JACAREZINHO             ,28,3,Méier,3.2
Jardim América            ,25226,49,VIGARIO GERAL           ,31,3,Penha,3.5
Jardim Botânico           ,18009,28,LAGOA                   ,6,2,Zona Sul,2.1
Jardim Carioca            ,24848,100,ILHA DO GOVERNADOR      ,20,3,Ilha do Governador,3.7
Jardim Guanabara          ,32213,99,ILHA DO GOVERNADOR      ,20,3,Ilha do Governador,3.7
Jardim Sulacap            ,13062,137,REALENGO                ,33,5,Bangu,5.1
