,DATA,RIO DE JANEIRO,ITAGUAI,SEROPÉDICA,QUEIMADOS,JAPERI,NOVA IGUAÇU,MESQUITA,NILOPOLIS,BELFORD ROXO,SAO JOAO DO MERITI,DUQUE DE CAXIAS,MAGE
0,2020-03-29,44,1,0,1,0,0,0,0,1,0,4,1
1,2020-03-30,144,2,0,3,1,0,3,0,1,0,5,2
2,2020-03-31,75,0,0,3,0,0,4,2,2,0,7,2
3,2020-04-01,50,0,0,1,0,0,1,2,4,0,5,2
4,2020-04-02,104,0,0,0,2,0,3,4,4,0,6,1
5,2020-04-03,147,0,0,0,1,0,4,1,5,0,8,3
6,2020-04-04,61,0,0,1,0,0,0,0,2,0,2,0
7,2020-04-05,22,1,0,2,0,0,1,1,3,0,3,0
8,2020-04-06,192,0,0,3,1,0,11,2,9,0,16,4
9,2020-04-07,203,0,0,1,0,0,5,2,8,0,18,6
10,2020-04-08,104,0,0,2,2,0,7,1,7,0,18,3
11,2020-04-09,79,1,0,0,0,0,7,4,3,0,16,4
12,2020-04-10,233,0,0,1,0,0,10,1,0,0,17,1
13,2020-04-11,177,0,0,1,0,0,3,0,3,0,9,1
14,2020-04-12,242,3,0,1,0,0,2,0,3,0,6,0
15,2020-04-13,64,4,0,3,4,0,7,2,2,0,24,2
16,2020-04-14,331,0,0,0,0,0,0,1,5,0,10,2
17,2020-04-15,123,0,0,1,2,0,0,3,3,0,7,0
18,2020-04-16,174,0,0,2,0,0,1,2,4,0,3,2
19,2020-04-17,41,0,0,0,0,0,0,1,0,0,4,0
20,2020-04-18,26,0,0,0,0,0,0,0,0,0,0,0
21,2020-04-19,47,0,0,0,0,0,0,0,1,0,0,0
22,2020-04-20,175,0,0,0,0,0,1,0,0,0,1,0
23,2020-04-21,9,0,0,0,0,0,0,0,0,0,0,0
