PK_COD_ENTIDADE,NO_ENTIDADE,MAT_CRECHE,MAT_PRE,MAT_FUND,MAT_MEDIO
33062234,COL PONTO DE PARTIDA,0,30,124,0
33062250,CE ALDEBARA,0,0,0,286
33062277,CE CUBA,0,0,0,247
33062293,CE CHARLES DICKENS,0,0,0,0
33062340,CAIC JOAQUIM JOSE DA SILVA XAVIER O TIRADENTES,0,0,0,278
33062358,0101501 CIEP HENFIL,0,0,943,0
33062374,CE REVERENDO HUGH CLARENCE TUCKER,0,0,0,247
33062412,0101803 EDI ANTONIO RAPOSO TAVARES,48,137,0,0
33062420,0101004 ESCOLA MUNICIPAL BENJAMIM CONSTANT,0,0,475,0
33062439,0101003 ESCOLA MUNICIPAL DARCY VARGAS,0,0,376,0
33062447,0101006 ESCOLA MUNICIPAL FRANCISCO BENJAMIM GALLOTI,0,0,300,0
33062455,0101005 ESCOLA MUNICIPAL GENERAL MITRE,0,107,394,0
33062463,0101008 ESCOLA MUNICIPAL MARECHAL ESPERIDIAO ROSAS,0,0,752,0
33062471,0101007 ESCOLA MUNICIPAL MARECHAL MASCARENHAS DE MORAES 0101007,0,0,277,0
33062480,0101804 EDI PROFESSORA LAURA SYLVIA MENDES PEREIRA,0,242,0,0
33062498,0101009 ESCOLA MUNICIPAL PROFESSOR WALTER CARLOS DE MAGALHAES FRAENKEL,0,0,561,0
33062501,0101001 ESCOLA MUNICIPAL VICENTE LICINIO CARDOSO,0,0,297,0
33062510,ESCOLA PADRE DOUTOR FRANCISCO DA MOTTA,0,136,806,0
33062536,INSTITUTO METODISTA DE ACAO SOCIAL,6,0,0,0
33062544,0102503 CIEP AVENIDA DOS DESFILES II,0,204,0,0
33062552,0102502 CIEP AVENIDA DOS DESFILES I,0,219,0,0
33062587,0102505 CIEP JOSE PEDRO VARELA,0,92,408,0
33062609,COLEGIO CRUZEIRO-CENTRO,65,235,1226,342
33062633,COL DE SAO BENTO,0,0,770,232
33062668,CE JULIA KUBITSCHEK,0,0,0,877
33062676,CE SOUZA AGUIAR,0,0,0,879
33062706,CPII - CAMPUS CENTRO,0,0,407,386
33062714,0102504 CIEP AVENIDA DOS DESFILES 0102504,0,0,10,0
33062757,0102501 ESCOLA MUNICIPAL TIA CIATA,0,0,651,0
33062765,0102005 ESCOLA MUNICIPAL CALOUSTE GULBENKIAN,0,0,356,0
33062773,0102001 ESCOLA MUNICIPAL CELESTINO DA SILVA,0,0,245,0
33062781,0102802 EDI CAMPOS SALLES,48,87,0,0
33062790,0102004 ESCOLA MUNICIPAL RIVADAVIA CORREA,0,0,237,0
33062803,0102002 ESCOLA MUNICIPAL TIRADENTES,0,0,158,0
33062854,LICEU DE ARTES E OFICIOS,2,22,169,56
33062862,CEJA CASA DO MARINHEIRO,0,0,0,0
33062889,CEJA COPACABANA,0,0,0,0
33062919,CE PAULO DE FRONTIN,0,0,0,1153
33062927,CE TOMAS ANTONIO GONZAGA,0,0,0,157
33062951,COL SAGRES,5,40,245,41
33062978,EDUCANDARIO NOSSA SENHORA DE NAZARE,7,48,148,0
33063044,CE MARIO QUINTANA,0,0,0,0
33063052,CE MEM DE SA,0,0,0,66
33063060,CE RUBEM BRAGA,0,0,0,0
33063095,0208001 ESCOLA MUNICIPAL AZEVEDO SODRE,0,0,285,0
33063109,0103502 ESCOLA MUNICIPAL CANADA,0,0,303,0
33063117,0103806 EDI FUNDACAO LEAO XIII,15,133,0,0
33063125,0103501 ESCOLA MUNICIPAL DO CATUMBI,0,0,207,0
33063133,0103001 ESCOLA MUNICIPAL ESTADOS UNIDOS,0,0,708,0
33063141,0102006 ESCOLA MUNICIPAL GUATEMALA,0,119,570,0
33063150,0103006 ESCOLA MUNICIPAL JENNY GOMES,0,0,521,0
33063168,0103005 ESCOLA MUNICIPAL MARIO CLAUDIO,0,0,528,0
33063176,0103003 ESCOLA MUNICIPAL MEM DE SA,0,48,553,0
33063184,0103004 ESCOLA MUNICIPAL PEREIRA PASSOS,0,0,764,0
33063192,0208002 ESCOLA MUNICIPAL REVERENDO MARTIN LUTHER KING,0,33,352,0
33063206,ESCOLA VITORIA,13,41,186,0
33063214,INSTITUTO PADRE LEONARDO CARRESCIA,19,41,240,65
33063222,FUNDACAO OSORIO,0,0,669,300
33063257,CENTRO REABILITACAO N S DA GLORIA,0,0,14,0
33063265,0204502 CIEP PRESIDENTE AGOSTINHO NETO,0,50,458,0
33063273,0204501 CIEP PRESIDENTE TANCREDO NEVES,0,96,265,0
33063311,COL ANDREWS,18,118,696,148
33063354,COLEGIO DA IMACULADA CONCEICAO,42,112,256,37
33063370,COLEGIO EDUARDO GUIMARAES,0,0,40,10
33063389,CE CHICO ANYSIO,0,0,0,341
33063397,CE AMARO CAVALCANTI,0,0,0,1640
33063400,CE MEXICO,0,0,0,0
33063419,COL FRANCO BRASILEIRO,102,210,1201,290
33063460,COLEGIO LARANJEIRAS,0,0,28,23
33063486,CENTRO EDUCACIONAL CLOTILDE GUIMARAES COL MARIA JOSE IMPERIAL,31,35,171,72
33063516,COL NS DE LOURDES,13,36,258,43
33063532,COL PE ANTONIO VIEIRA,8,23,177,45
33063540,CPII - CAMPUS HUMAITA I,0,0,474,0
33063559,CPII - CAMPUS HUMAITA II,0,0,631,605
33063575,COL PINHEIRO GUIMARAES,0,0,0,78
33063613,COLEGIO REBECA LTDA,10,15,73,0
33063648,COLEGIO SAO VICENTE DE PAULO,0,0,720,350
33063656,SOCIEDADE BRASILEIRA DE ENSINO - COLEGIO SION,24,56,0,64
33063699,COL SANTO ALBERTO MAGNO,0,0,0,0
33063702,COL STO AMARO,14,17,146,56
33063710,COL STO ANTONIO MARIA ZACCARIA,65,75,232,76
33063729,COLEGIO SANTO INACIO,0,0,2152,701
33063770,ACALANTO CRECHE ESCOLA,55,36,18,0
33063826,EDUC DA MISERICORDIA,0,51,138,0
33063834,COL LOGOSOFICO GONZALEZ PECOTCHE,29,37,183,0
33063877,CE DEODORO,0,0,0,79
33063907,CE PROFESSOR JOAO BORGES DE MORAES,0,0,0,236
33063974,ESC ADVENTISTA DE BOTAFOGO,10,50,315,25
33063990,ESCOLA BRITANICA - THE BRITISH SCHOOL RIO DE JANEIRO URCA,0,0,185,208
33064024,EDEM,0,0,0,100
33064032,ESCOLA ALEMA CORCOVADO - EXPERIMENTAL,0,245,778,238
33064040,ESCOLA ISRAELITA BRASILEIRA ELIEZER STEINBARG MAX NORDAU,39,51,240,57
33064059,0204007 ESCOLA MUNICIPAL ALBERT SCHWEITZER,0,105,309,0
33064067,0204003 ESCOLA MUNICIPAL ALBERTO BARTH,0,0,181,0
33064075,0204006 ESCOLA MUNICIPAL ANNE FRANK,0,0,206,0
33064083,0204802 EDI CASA DA CRIANCA,0,119,0,0
33064091,0204009 ESCOLA MUNICIPAL GUARARAPES CANDIDO,0,40,53,0
33064105,0204001 ESCOLA MUNICIPAL DEODORO 0204001,0,0,231,0
33064113,0204010 ESCOLA MUNICIPAL FRANCISCO ALVES,0,37,267,0
33064121,0204801 EDI MARECHAL HERMES,0,162,0,0
33064130,0204017 ESCOLA MUNICIPAL JOAQUIM ABILIO BORGES,0,0,339,0
33064148,0204011 ESCOLA MUNICIPAL JOAQUIM NABUCO,0,0,163,0
33064156,0204005 ESCOLA MUNICIPAL JOSE DE ALENCAR,0,0,447,0
33064164,0204002 ESCOLA MUNICIPAL MARIA LEOPOLDINA,0,51,204,0
33064172,0204012 ESCOLA MUNICIPAL MEXICO,0,94,342,0
33064180,0204014 ESCOLA MUNICIPAL PRESIDENTE ARTHUR DA COSTA E SILVA,0,0,132,0
33064199,0204015 ESCOLA MUNICIPAL JOAO SALDANHA,0,0,279,0
33064202,0204004 ESCOLA MUNICIPAL EDUCANDARIO ROMAO DE MATTOS DUARTE,0,24,147,0
33064210,0204008 ESCOLA MUNICIPAL VITAL BRASIL,0,72,219,0
33064229,ESC NS DA MISERICORDIA - OUR LADY OF MERCY SCHOOL,49,123,336,65
33064253,ESCOLA SA PEREIRA,0,0,439,0
33064342,INSTITUTO BENJAMIN CONSTANT,0,15,180,7
33064369,ESCOLA ORT,0,0,126,106
33064377,INST JOAO ALVES AFFONSO,0,25,166,0
33064385,COLEGIO METODISTA BENNETT,23,28,185,64
33064393,INSTITUTO NOSSA SENHORA DA PIEDADE,78,70,321,90
33064415,COL DE APLIC DO INST NACIONAL DE EDUC DE SURDOS,5,9,271,66
33064440,ESCOLA DOM CIPRIANO CHAGAS,22,50,109,0
33064504,ESC DINAMIS,0,0,91,0
33064580,JD MIRAFLORES LTDA,171,124,192,0
33064601,COLEGIO OBJETIVO BOTAFOGO,15,35,135,67
33064628,COLEGIO TTH BAR-ILAN,48,44,177,48
33064644,CE INFANTE DOM HENRIQUE,0,0,0,1119
33064652,CE PEDRO ALVARES CABRAL,0,0,0,926
33064709,COL MALLET SOARES,11,60,107,39
