;Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
0;ESCOLA PARALISADA;CE REVERENDO MARTIN LUTHER KING;33062226;RJ;Rio de Janeiro;Urbana;Não Informado;Pública;RUA JOAQUIM PALHARES, 648 ESTACIO. 20260-080 Rio de Janeiro - RJ.;(21) 23337888;Estadual;Não Informado;Não;;;;;-22.9116;-43.2116
1;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COL PONTO DE PARTIDA;33062234;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA DOUTOR AGENOR ALMEIDA DE LOYOLA, 1284 BANCARIOS. 21911-310 Rio de Janeiro - RJ.;(21) 38073581;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-22.788079999999997;-43.1769
2;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE ALDEBARA;33062250;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA ANTARES, 0 CONJUNTO ANTARES. SANTA CRUZ. 23590-360 Rio de Janeiro - RJ.;(21) 23334235;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio, Educação de Jovens Adultos;;-22.922473;-43.655696500000005
3;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE CUBA;33062277;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;PRAIA DO ZUMBI, 25 ZUMBI. 21930-155 Rio de Janeiro - RJ.;(21) 23346465;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-22.8216188;-43.1738366
4;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE CHARLES DICKENS;33062293;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PRIMEIRA CRUZ, 0 S/Nº. CAMPO GRANDE. 23085-710 Rio de Janeiro - RJ.;(21) 23336915;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação de Jovens Adultos;;-22.8941055;-43.5578313
5;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CAIC JOAQUIM JOSE DA SILVA XAVIER O TIRADENTES;33062340;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA RIVADAVIA CORREIA, 190 GAMBOA. 20220-290 Rio de Janeiro - RJ.;(21) 23345140;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-22.898155199999998;-43.1960995
6;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0101501 CIEP HENFIL;33062358;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CARLOS SEIDL, S/N CAJU. 20931-003 Rio de Janeiro - RJ.;(21) 38958627;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Educação de Jovens Adultos;Atendimento Educacional Especializado;-22.8812382;-43.225063899999995
7;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE REVERENDO HUGH CLARENCE TUCKER;33062374;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA RIVADAVIA CORREIA, 188 GAMBOA. 20220-290 Rio de Janeiro - RJ.;(21) 23345803;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-22.898247899999998;-43.1961066
8;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0101803 EDI ANTONIO RAPOSO TAVARES;33062412;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DO PROPOSITO, 73 GAMBOA. 20220-530 Rio de Janeiro - RJ.;(21) 22535876;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-22.8957633;-43.1943533
9;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0101004 ESCOLA MUNICIPAL BENJAMIM CONSTANT;33062420;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;PCA MAL HERMES, S/Nº SANTO CRISTO. 20220-430 Rio de Janeiro - RJ.;(21) 22633188;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-22.9;-43.2055
