,Acumulados semana 7,Acumulados semana 6,Acumulados semana 5,Acumulados semana 4,Acumulados semana 3,Acumulados semana 2,Acumulados semana 1,Acumulados óbitos semana 7,Acumulados óbitos semana 6,Acumulados óbitos semana 5,Acumulados óbitos semana 4,Acumulados óbitos semana 3,Acumulados óbitos semana 2,Acumulados óbitos semana 1,Bairros,Novos semana 1,Novos semana 2,Novos semana 3,Novos semana 4,Novos semana 5,Novos semana 6,Novos semana 7,Novos óbitos semana 1,Novos óbitos semana 2,Novos óbitos semana 3,Novos óbitos semana 4,Novos óbitos semana 5,Novos óbitos semana 6,Novos óbitos semana 7,pop,ap,nomes_certos
0,362,335,291,198,144,103,49,42,36,29,21,13,9,5,BARRA DA TIJUCA,16,52,36,46,87,41,24,0,3,3,7,8,6,6,135924,4,Barra da Tijuca
1,74,73,66,54,41,30,13,3,3,3,2,2,2,2,LAGOA,8,17,11,12,12,6,1,1,0,0,0,1,0,0,21198,2,Lagoa
2,113,82,60,27,14,10,9,31,23,15,6,2,1,0,SANTA CRUZ,0,1,4,11,29,19,22,0,1,1,3,8,7,7,217333,5,Santa Cruz
3,20,17,12,4,1,0,0,4,4,3,1,1,0,0,TANQUE,0,0,1,3,8,5,2,0,0,1,0,2,1,0,37856,4,Tanque
4,30,27,23,17,9,6,4,2,2,1,1,0,0,0,CATETE,0,2,3,8,6,3,3,0,0,0,1,0,1,0,24057,2,Catete
5,23,23,20,12,5,4,4,3,3,3,2,2,2,2,VAZ LOBO,1,0,1,6,8,3,0,1,0,0,0,1,0,0,15167,3,Vaz Lobo
6,110,94,75,45,22,9,7,23,21,14,10,5,2,2,IRAJA,1,1,10,18,30,14,10,0,0,2,3,4,6,2,96382,3,Irajá
7,39,33,23,10,3,1,1,8,7,3,2,1,0,0,MARE,0,0,2,7,13,9,4,0,0,1,1,1,4,1,129770,3,Maré
8,103,95,74,47,31,20,8,17,16,13,8,3,3,1,VILA ISABEL,0,12,8,14,27,21,4,0,2,0,5,5,3,1,86018,2,Vila Isabel
9,131,114,87,61,29,11,3,16,13,8,8,3,3,1,JACAREPAGUA,1,8,15,28,25,24,12,0,2,0,4,0,5,3,157326,4,Jacarepaguá
10,411,363,279,184,123,93,39,73,68,46,30,19,10,4,COPACABANA,11,47,28,51,89,79,41,1,5,9,11,14,21,5,146392,2,Copacabana
11,27,26,18,9,9,4,3,5,5,3,3,3,0,0,CURICICA,1,0,5,0,8,5,1,0,0,3,0,0,2,0,31189,4,Curicica
12,193,162,124,74,32,15,7,56,51,36,17,8,2,1,BANGU,0,7,16,34,50,32,19,0,1,6,7,19,12,5,214953,5,Bangu
13,49,46,36,22,14,7,5,11,10,7,3,1,0,0,RIO COMPRIDO,2,1,5,7,14,10,1,0,0,0,2,4,3,1,43764,1,Rio Comprido
14,26,21,21,15,8,5,3,2,2,2,1,0,0,0,PENHA CIRCULAR,0,1,3,7,6,0,2,0,0,0,1,1,0,0,47816,3,Penha Circular
15,60,54,44,26,17,8,3,7,6,5,3,1,1,1,ENGENHO NOVO,0,3,6,9,18,9,4,0,0,0,2,2,1,1,42172,3,Engenho Novo
