,AP 1,AP 2,AP 3,AP 4,AP 5,Datas
0,3,46,62,23,30,2020-03-15
1,3,48,62,23,30,2020-03-16
2,3,49,64,23,31,2020-03-17
3,3,52,66,23,31,2020-03-18
4,3,55,69,24,31,2020-03-19
5,3,61,73,27,31,2020-03-20
6,3,61,74,28,32,2020-03-21
7,3,61,76,29,32,2020-03-22
8,5,75,83,34,36,2020-03-23
9,5,81,87,37,38,2020-03-24
10,6,89,93,40,40,2020-03-25
11,6,99,98,49,42,2020-03-26
12,9,116,117,53,48,2020-03-27
13,12,129,132,58,51,2020-03-28
14,14,137,139,61,52,2020-03-29
15,17,183,174,78,58,2020-03-30
16,21,234,193,91,74,2020-03-31
17,25,257,229,105,89,2020-04-01
18,29,287,254,124,104,2020-04-02
19,33,314,280,142,126,2020-04-03
20,36,335,297,153,132,2020-04-04
21,37,349,314,160,139,2020-04-05
22,41,397,375,182,170,2020-04-06
23,48,439,424,202,201,2020-04-07
24,52,490,471,230,246,2020-04-08
25,63,538,515,255,270,2020-04-09
26,67,554,550,268,293,2020-04-10
27,72,580,591,275,318,2020-04-11
28,76,607,626,291,345,2020-04-12
29,85,694,717,332,404,2020-04-13
30,95,743,784,354,455,2020-04-14
31,117,810,841,393,494,2020-04-15
32,125,896,921,416,529,2020-04-16
33,136,969,989,446,578,2020-04-17
34,140,1004,1020,456,600,2020-04-18
35,142,1035,1053,470,626,2020-04-19
36,162,1165,1169,514,694,2020-04-20
37,169,1212,1207,532,713,2020-04-21
38,181,1271,1267,546,742,2020-04-22
39,189,1308,1319,568,770,2020-04-23
40,202,1453,1459,644,840,2020-04-24
41,208,1505,1494,663,863,2020-04-25
42,212,1530,1510,670,880,2020-04-26
43,235,1653,1650,721,960,2020-04-27
44,253,1717,1744,757,1013,2020-04-28
45,265,1783,1849,807,1082,2020-04-29
46,280,1883,1963,860,1164,2020-04-30
47,285,1907,1984,888,1188,2020-05-01
48,292,1925,1994,901,1193,2020-05-02
49,296,1937,2001,912,1201,2020-05-03
50,306,2008,2075,951,1241,2020-05-04
51,323,2076,2147,994,1291,2020-05-05
52,336,2167,2232,1043,1332,2020-05-06
53,349,2217,2318,1113,1377,2020-05-07
54,360,2287,2416,1181,1424,2020-05-08
55,361,2319,2431,1193,1434,2020-05-09
56,365,2341,2444,1197,1439,2020-05-10
57,372,2395,2481,1228,1459,2020-05-11
58,396,2482,2579,1289,1496,2020-05-12
59,420,2568,2747,1347,1584,2020-05-13
60,434,2655,2872,1401,1646,2020-05-14
