,TIJUCA,LARANJEIRAS,BOTAFOGO,JARDIM GUANABARA,CACHAMBI,PRACA SECA,IRAJA,ENGENHO DE DENTRO,FLAMENGO,JACAREPAGUA,IPANEMA,COPACABANA,TAUA,COSMOS,FREGUESIA-JPA,ITANHANGA,CAJU,PENHA,BARRA DA TIJUCA,CENTRO,REALENGO,ENGENHO NOVO,TAQUARA,MARECHAL HERMES,VICENTE DE CARVALHO,ANCHIETA,PAVUNA,PACIENCIA,JACAREZINHO,OLARIA,PADRE MIGUEL,PENHA CIRCULAR,MARACANA,SANTISSIMO,GUARATIBA,RIO COMPRIDO,BRAS DE PINA,ROCINHA,CIDADE DE DEUS,SENADOR CAMARA,CAMPO GRANDE,COSME VELHO,VILA DA PENHA,LEBLON,JARDIM BOTANICO,GLORIA,VILA VALQUEIRE,BENTO RIBEIRO,BANGU,JARDIM SULACAP,JARDIM AMERICA,SENADOR VASCONCELOS,VILA ISABEL,ANIL,VARGEM PEQUENA,BARROS FILHO,MONERO,DEODORO,MANGUINHOS,SANTA CRUZ,INHOAIBA,PARQUE ANCHIETA,HIGIENOPOLIS,GALEAO,TANQUE,JARDIM CARIOCA,OSWALDO CRUZ,CORDOVIL,JACARE,PIEDADE,MARE,CACUIA,RAMOS,QUINTINO BOCAIUVA,BONSUCESSO,PEDRA DE GUARATIBA,SAO FRANCISCO XAVIER,LEME,TURIACU,MEIER,PARADA DE LUCAS,GARDENIA AZUL,PRACA DA BANDEIRA,VILA KOSMOS,SAO CONRADO,MANGUEIRA,CAVALCANTE,SANTA TERESA,TODOS OS SANTOS,RIACHUELO,BENFICA,PARQUE COLUMBIA,HUMAITA,CIDADE NOVA,MARIA DA GRACA,BANCARIOS,HONORIO GURGEL,ROCHA MIRANDA,ACARI,LAGOA,VIGARIO GERAL,ENGENHO DA RAINHA,SAO CRISTOVAO,SEPETIBA,ROCHA,COMPLEXO DA MARE,RECREIO DOS BANDEIRANTES,INHAUMA,GRAJAU,CURICICA,DEL CASTILHO,URCA,COELHO NETO,GAVEA,MADUREIRA,PILARES,GUADALUPE,VARGEM GRANDE,PECHINCHA,COLEGIO,CATUMBI,CAMORIM,ABOLICAO,LINS DE VASCONCELOS,COSTA BARROS,VILA KENNEDY,ESTACIO,ALTO DA BOA VISTA,PITANGUEIRAS,VISTA ALEGRE,ENCANTADO,PORTUGUESA,RIBEIRA,SANTO CRISTO,TOMAS COELHO,COMPLEXO DO ALEMAO,ANDARAI,RICARDO DE ALBUQUERQUE,MAGALHAES BASTOS,VASCO DA GAMA,SAMPAIO,PRAIA DA BANDEIRA,COCOTA,VILA MILITAR,CATETE,VIDIGAL,GAMBOA,VAZ LOBO,CASCADURA,JOA,AGUA SANTA,ZUMBI,BARRA DE GUARATIBA,FREGUESIA-ILHA,CAMPINHO,CIDADE UNIVERSITARIA,CAMPO DOS AFONSOS,ENGENHEIRO LEAL,PAQUETA,SAUDE,Datas
0,4,2,7,3,0,1,2,3,2,1,3,6,0,0,1,0,0,0,2,0,5,2,4,0,1,1,2,1,1,1,2,0,0,0,0,0,1,1,0,1,5,0,0,10,1,1,0,1,3,0,0,1,2,1,0,1,0,0,0,8,3,1,0,2,0,0,0,2,2,2,1,0,2,1,8,0,0,1,0,1,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,1,2,1,1,0,3,0,1,1,0,0,3,0,1,5,0,0,0,0,2,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2020-03-15
1,4,2,8,3,0,1,2,3,3,1,3,6,0,0,1,0,0,0,2,0,5,2,4,0,1,1,2,1,1,1,2,0,0,0,0,0,1,1,0,1,5,0,0,10,1,1,0,1,3,0,0,1,2,1,0,1,0,0,0,8,3,1,0,2,0,0,0,2,2,2,1,0,2,1,8,0,0,1,0,1,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,1,2,1,1,0,3,0,1,1,0,0,3,0,1,5,0,0,0,0,2,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2020-03-16
2,4,2,8,3,0,1,2,3,4,1,3,6,0,0,1,0,0,0,2,0,5,2,4,1,1,1,2,1,1,1,2,0,0,0,0,0,1,1,0,1,6,0,0,10,1,1,0,1,3,0,0,1,2,1,0,1,0,0,0,8,3,1,0,2,0,0,0,2,2,2,1,0,2,1,8,0,0,1,0,1,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,1,2,1,2,0,3,0,1,1,0,0,3,0,1,5,0,0,0,0,2,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2020-03-17
3,5,2,8,3,0,1,2,3,4,1,4,7,0,0,1,0,0,0,2,0,5,2,4,2,1,1,2,1,1,1,2,0,0,0,0,0,1,1,0,1,6,0,0,10,1,1,0,1,3,0,0,1,2,1,0,1,0,0,0,8,3,1,0,2,0,0,0,2,2,2,1,0,2,1,8,0,0,1,0,1,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,1,2,1,2,0,3,0,1,1,0,0,3,0,1,5,0,0,0,0,2,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2020-03-18
4,5,2,9,3,0,1,3,3,4,1,4,7,0,0,1,0,0,0,2,0,5,2,4,2,1,1,2,1,1,1,2,0,0,0,0,0,1,1,0,1,6,0,1,11,1,1,1,1,3,0,0,1,2,1,0,1,0,0,0,8,3,1,0,2,0,0,0,2,3,2,1,0,2,1,8,0,0,1,0,1,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,1,2,1,2,1,3,0,1,1,0,0,3,0,1,5,0,0,0,0,2,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2020-03-19
5,6,4,9,3,0,1,3,3,4,1,4,9,0,0,1,1,0,0,3,0,5,2,4,2,1,1,2,1,1,1,2,0,0,0,0,0,2,1,0,1,6,0,1,11,1,1,1,1,3,0,0,1,2,2,0,1,0,0,0,8,3,1,0,2,0,0,0,2,3,3,1,0,2,1,8,0,0,1,0,2,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,2,2,1,2,2,3,0,1,1,0,0,3,0,1,5,0,0,0,0,2,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2020-03-20
6,6,4,9,3,0,1,3,3,4,1,4,9,0,0,1,1,0,0,4,0,5,2,4,2,1,1,2,1,1,1,2,0,0,0,0,0,2,1,0,1,7,0,1,11,1,1,1,1,3,0,0,1,2,2,0,1,0,0,0,8,3,1,0,2,0,0,1,2,3,3,1,0,2,1,8,0,0,1,0,2,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,2,2,1,2,2,3,0,1,1,0,0,3,0,1,5,0,0,0,0,2,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2020-03-21
7,6,4,9,3,0,1,3,3,4,1,4,9,0,0,1,1,0,1,4,0,5,2,4,2,1,1,2,1,1,1,2,0,0,0,0,0,2,1,0,1,7,0,1,11,1,1,1,1,3,0,0,1,2,2,0,1,0,0,0,8,3,1,0,2,0,0,1,2,3,3,1,0,2,1,8,0,0,1,0,2,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,2,2,1,2,2,3,0,1,1,0,0,4,0,1,5,0,0,1,0,2,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2020-03-22
8,9,5,11,3,1,1,3,5,4,2,5,10,0,0,1,2,0,1,7,0,5,2,4,2,1,2,2,2,1,1,2,0,1,0,0,0,2,1,0,1,8,1,1,11,1,1,1,1,4,0,0,1,4,2,0,1,0,0,0,9,3,1,0,2,0,0,1,2,3,3,1,0,2,1,8,0,0,1,0,2,1,0,0,0,1,1,0,1,0,2,0,0,2,0,0,2,2,1,2,2,4,2,2,1,0,0,4,0,1,5,0,1,1,0,2,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2020-03-23
9,10,7,12,3,1,1,3,5,5,2,5,10,0,0,1,3,0,1,7,0,5,2,4,2,1,2,2,3,1,1,2,0,1,0,0,0,2,1,0,1,8,1,2,11,2,1,1,1,5,0,0,1,4,3,0,1,0,0,0,9,3,1,0,2,0,0,1,2,3,3,1,0,2,1,8,0,0,1,0,2,1,0,0,0,1,1,0,1,0,2,0,0,2,0,0,2,2,1,2,2,4,2,2,1,0,0,4,2,1,5,0,1,1,0,2,2,1,1,4,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2020-03-24
