,COPACABANA,SAO CONRADO,JARDIM BOTANICO,COSMOS,LEBLON,LAGOA,IPANEMA,BOTAFOGO,RECREIO DOS BANDEIRANTES,FREGUESIA-JPA,PACIENCIA,BARRA DA TIJUCA,COSME VELHO,LEME,FLAMENGO,TAQUARA,INHAUMA,MARACANA,GAVEA,HUMAITA,GRAJAU,ANIL,ROCHA MIRANDA,BANGU,RAMOS,TIJUCA,VILA ISABEL,MANGUINHOS,CENTRO,CAJU,VILA DA PENHA,GAMBOA,LARANJEIRAS,CAMPO GRANDE,ANDARAI,RIACHUELO,JACAREPAGUA,JOA,SAO CRISTOVAO,MEIER,RIO COMPRIDO,PADRE MIGUEL,SEPETIBA,MADUREIRA,ITANHANGA,PIEDADE,CIDADE DE DEUS,SANTA TERESA,PAQUETA,URCA,QUINTINO BOCAIUVA,SAUDE,PECHINCHA,CATETE,GUADALUPE,CACHAMBI,LINS DE VASCONCELOS,PILARES,VILA VALQUEIRE,OLARIA,CURICICA,COELHO NETO,REALENGO,GUARATIBA,PARADA DE LUCAS,PAVUNA,VIDIGAL,MARECHAL HERMES,BENFICA,ENGENHO NOVO,JARDIM GUANABARA,PENHA,VIGARIO GERAL,FREGUESIA-ILHA,MANGUEIRA,SANTISSIMO,ENGENHO DA RAINHA,PRACA DA BANDEIRA,DEODORO,BENTO RIBEIRO,BONSUCESSO,ANCHIETA,ROCHA,COMPLEXO DO ALEMAO,PRACA SECA,COSTA BARROS,COLEGIO,VARGEM PEQUENA,VAZ LOBO,IRAJA,BRAS DE PINA,VISTA ALEGRE,BANCARIOS,SENADOR CAMARA,CAMORIM,HONORIO GURGEL,BARROS FILHO,JACARE,SANTA CRUZ,PORTUGUESA,CASCADURA,TURIACU,ESTACIO,DEL CASTILHO,VARGEM GRANDE,JARDIM SULACAP,HIGIENOPOLIS,SAMPAIO,TOMAS COELHO,CORDOVIL,CATUMBI,CAVALCANTE,CIDADE NOVA,AGUA SANTA,VILA KOSMOS,INHOAIBA,ROCINHA,TODOS OS SANTOS,JARDIM CARIOCA,CACUIA,PENHA CIRCULAR,VICENTE DE CARVALHO,TANQUE,PITANGUEIRAS,MARE,ABOLICAO,MAGALHAES BASTOS,PRAIA DA BANDEIRA,ENGENHO DE DENTRO,GARDENIA AZUL,TAUA,RIBEIRA,ALTO DA BOA VISTA,SENADOR VASCONCELOS,OSWALDO CRUZ,PEDRA DE GUARATIBA,JARDIM AMERICA,ACARI,SAO FRANCISCO XAVIER,ENCANTADO,CAMPINHO,RICARDO ALBUQUERQUE,MONERO,GLORIA,PARQUE ANCHIETA,CIDADE UNIVERSITARIA,SANTO CRISTO,GALEAO,VILA KENNEDY,CAMPO DOS AFONSOS,MARIA DA GRACA,COCOTA,JACAREZINHO,ENGENHEIRO LEAL,BARRA DE GUARATIBA,ZUMBI,Datas
0,6,1,3,1,2,2,2,3,2,4,6,7,0,0,4,2,3,4,1,0,1,2,2,8,3,8,4,3,3,0,1,0,2,17,2,1,1,0,2,3,2,2,1,5,1,4,0,0,0,0,1,0,2,2,3,1,1,0,8,2,1,0,3,2,2,7,1,4,1,2,2,5,0,1,1,3,0,3,1,1,2,4,1,0,5,1,0,0,2,5,2,2,1,2,1,1,0,3,9,0,1,0,3,1,2,1,0,2,0,1,0,1,0,0,0,2,1,2,1,0,3,1,0,1,1,0,0,0,1,1,1,0,0,0,2,2,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2020-02-26
1,6,1,3,1,2,2,2,3,2,4,6,8,0,0,4,2,3,4,1,0,1,2,2,8,3,8,4,3,3,0,1,0,2,17,2,1,1,0,2,3,2,2,1,5,1,4,0,0,0,0,1,0,2,2,3,1,1,0,8,2,1,0,3,2,2,7,1,4,1,2,2,5,0,1,1,3,0,3,1,1,2,4,1,0,5,1,0,0,2,5,2,2,1,2,1,1,0,3,9,0,1,0,3,1,2,1,0,2,0,1,0,1,0,0,0,2,1,2,1,0,3,1,0,1,1,0,0,0,1,1,1,0,0,0,2,2,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2020-02-27
2,6,1,3,1,2,2,2,3,2,4,6,8,0,0,4,2,3,4,1,0,1,2,2,8,3,8,4,3,3,0,1,0,2,17,2,1,1,0,2,3,2,2,1,5,1,4,0,0,0,0,1,0,2,2,3,1,1,0,8,2,1,0,3,2,2,7,1,4,1,2,2,5,0,1,1,3,0,3,1,1,2,4,1,0,5,1,0,0,2,5,2,2,1,2,1,1,0,3,9,0,1,0,3,1,2,1,0,2,0,1,0,1,0,0,0,2,1,2,1,0,3,1,0,1,1,0,0,0,1,1,1,0,0,0,2,2,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2020-02-28
3,6,1,3,1,2,2,2,3,2,4,6,8,0,0,4,2,3,4,1,0,1,2,2,8,3,8,4,3,3,0,1,0,2,17,2,1,1,0,2,3,2,2,1,5,1,4,0,0,0,0,1,0,2,2,3,1,1,0,8,2,1,0,3,2,2,7,1,4,1,2,2,5,0,1,1,3,0,3,1,1,2,4,1,0,5,1,0,0,2,5,2,2,1,2,1,1,0,3,9,0,1,0,3,1,2,1,0,2,0,1,0,1,0,0,0,2,1,2,1,0,3,1,0,1,1,0,0,0,1,1,1,0,0,0,2,2,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2020-02-29
4,6,1,3,1,2,2,2,3,2,4,6,8,0,0,4,2,3,4,1,0,1,2,2,8,3,8,4,3,3,0,1,0,2,17,2,1,1,0,2,3,2,2,1,5,1,4,0,0,0,0,1,0,2,2,3,1,1,0,8,2,1,0,3,2,2,7,1,4,1,2,2,5,0,1,1,3,0,3,1,1,2,4,1,0,5,1,0,0,2,5,2,2,1,2,1,1,0,3,9,0,1,0,3,1,2,1,0,2,0,1,0,1,0,0,0,2,1,2,1,0,3,1,0,1,1,0,0,0,1,1,1,0,0,0,2,2,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2020-03-01
5,6,1,3,1,2,2,2,3,2,4,6,8,0,0,4,2,3,4,1,0,1,2,2,8,3,8,4,3,3,0,1,0,2,17,2,1,1,0,2,3,2,2,1,5,1,4,0,0,0,0,1,0,2,2,3,1,1,0,8,2,1,0,3,2,2,7,1,4,1,2,2,5,0,1,1,3,0,3,1,1,2,4,1,0,5,1,0,0,2,5,2,2,1,2,1,1,0,3,9,0,1,0,3,1,2,1,0,2,0,1,0,1,0,0,0,2,1,2,1,0,3,1,0,1,1,0,0,0,1,1,1,0,0,0,2,2,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2020-03-02
6,6,1,3,1,2,2,2,3,2,4,6,9,0,0,4,2,3,4,1,0,1,2,2,8,3,9,4,3,3,0,1,0,2,17,2,1,1,0,2,3,2,2,1,5,1,4,0,0,0,0,1,0,2,2,3,1,1,0,8,2,1,0,3,2,2,7,1,4,1,2,2,5,0,1,1,3,0,3,1,1,2,4,1,0,5,1,0,0,2,5,2,2,1,2,1,1,0,3,9,0,1,0,3,1,2,1,0,2,0,1,0,1,0,0,0,2,1,2,1,0,3,1,0,1,1,0,0,0,1,1,1,0,0,0,2,2,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2020-03-03
7,6,1,3,1,2,2,2,3,2,4,6,9,0,0,4,2,3,4,1,0,1,2,2,8,3,9,4,3,3,0,1,0,2,17,2,1,1,0,2,3,2,2,1,5,1,4,0,0,0,0,1,0,2,2,3,1,1,0,8,2,1,0,3,2,2,7,1,4,1,2,2,5,0,1,1,3,0,3,1,1,2,4,1,0,5,1,0,0,2,5,2,2,1,2,1,1,0,3,9,0,1,0,3,1,2,1,0,2,0,1,0,1,0,0,0,2,1,2,1,0,3,1,0,1,1,0,0,0,1,1,1,0,0,0,2,2,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2020-03-04
8,6,1,3,1,3,2,3,3,2,4,6,9,0,0,4,2,3,4,1,0,1,2,2,8,3,9,4,3,3,0,1,0,2,17,2,1,1,0,2,3,2,2,1,5,1,4,0,0,0,0,1,0,2,2,3,1,1,0,8,2,1,0,3,2,2,7,1,4,1,2,2,5,0,1,1,3,0,3,1,1,2,4,1,0,5,1,0,0,2,5,2,2,1,2,1,1,0,3,9,0,1,0,3,1,2,1,0,2,0,1,0,1,0,0,0,2,1,2,1,0,3,1,0,1,1,0,0,0,1,1,1,0,0,0,2,2,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2020-03-05
9,6,1,3,1,3,2,4,3,2,4,6,9,0,0,4,2,3,4,1,0,1,2,2,8,3,9,4,3,3,0,1,0,2,17,2,1,1,0,2,3,2,2,1,5,1,4,0,0,0,0,1,0,2,2,3,1,1,0,8,2,1,0,3,2,2,7,1,4,1,2,2,5,0,1,1,3,0,3,1,1,2,4,1,0,5,1,0,0,2,5,2,2,1,2,1,1,0,3,9,0,1,0,3,1,2,1,0,2,0,1,0,1,0,0,0,2,1,2,1,0,3,1,0,1,1,0,0,0,1,1,1,0,0,0,2,2,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2020-03-06
