,AP 1,AP 2,AP 3,AP 4,AP 5,Datas
0,0,0,0,0,0,2020-03-15
1,0,2,0,0,0,2020-03-16
2,0,1,2,0,1,2020-03-17
3,0,3,2,0,0,2020-03-18
4,0,3,3,1,0,2020-03-19
5,0,6,4,3,0,2020-03-20
6,0,0,1,1,1,2020-03-21
7,0,0,2,1,0,2020-03-22
8,2,14,7,5,4,2020-03-23
9,0,6,4,3,2,2020-03-24
10,1,8,6,3,2,2020-03-25
11,0,10,5,9,2,2020-03-26
12,3,17,19,4,6,2020-03-27
13,3,13,15,5,3,2020-03-28
14,2,8,7,3,1,2020-03-29
15,3,46,35,17,6,2020-03-30
16,4,51,19,13,16,2020-03-31
17,4,23,36,14,15,2020-04-01
18,4,30,25,19,15,2020-04-02
19,4,27,26,18,22,2020-04-03
20,3,21,17,11,6,2020-04-04
21,1,14,17,7,7,2020-04-05
22,4,48,61,22,31,2020-04-06
23,7,42,49,20,31,2020-04-07
24,4,51,47,28,45,2020-04-08
25,11,48,44,25,24,2020-04-09
26,4,16,35,13,23,2020-04-10
27,5,26,41,7,25,2020-04-11
28,4,27,35,16,27,2020-04-12
29,9,87,91,41,59,2020-04-13
30,10,49,67,22,51,2020-04-14
31,22,67,57,39,39,2020-04-15
32,8,86,80,23,35,2020-04-16
33,11,73,68,30,49,2020-04-17
34,4,35,31,10,22,2020-04-18
35,2,31,33,14,26,2020-04-19
36,20,130,116,44,68,2020-04-20
37,7,47,38,18,19,2020-04-21
38,12,59,60,14,29,2020-04-22
39,8,37,52,22,28,2020-04-23
40,13,145,140,76,70,2020-04-24
41,6,52,35,19,23,2020-04-25
42,4,25,16,7,17,2020-04-26
43,23,123,140,51,80,2020-04-27
44,18,64,94,36,53,2020-04-28
45,12,66,105,50,69,2020-04-29
46,15,100,114,53,82,2020-04-30
47,5,24,21,28,24,2020-05-01
48,7,18,10,13,5,2020-05-02
49,4,12,7,11,8,2020-05-03
50,10,71,74,39,40,2020-05-04
51,17,68,72,43,50,2020-05-05
52,13,91,85,49,41,2020-05-06
53,13,50,86,70,45,2020-05-07
54,11,70,98,68,47,2020-05-08
55,1,32,15,12,10,2020-05-09
56,4,22,13,4,5,2020-05-10
57,7,54,37,31,20,2020-05-11
58,24,87,98,61,37,2020-05-12
59,24,86,168,58,88,2020-05-13
60,14,87,125,54,62,2020-05-14
