,TIJUCA,LARANJEIRAS,BOTAFOGO,JARDIM GUANABARA,CACHAMBI,PRACA SECA,IRAJA,ENGENHO DE DENTRO,FLAMENGO,JACAREPAGUA,IPANEMA,COPACABANA,TAUA,COSMOS,FREGUESIA-JPA,ITANHANGA,CAJU,PENHA,BARRA DA TIJUCA,CENTRO,REALENGO,ENGENHO NOVO,TAQUARA,MARECHAL HERMES,VICENTE DE CARVALHO,ANCHIETA,PAVUNA,PACIENCIA,JACAREZINHO,OLARIA,PADRE MIGUEL,PENHA CIRCULAR,MARACANA,SANTISSIMO,GUARATIBA,RIO COMPRIDO,BRAS DE PINA,ROCINHA,CIDADE DE DEUS,SENADOR CAMARA,CAMPO GRANDE,COSME VELHO,VILA DA PENHA,LEBLON,JARDIM BOTANICO,GLORIA,VILA VALQUEIRE,BENTO RIBEIRO,BANGU,JARDIM SULACAP,JARDIM AMERICA,SENADOR VASCONCELOS,VILA ISABEL,ANIL,VARGEM PEQUENA,BARROS FILHO,MONERO,DEODORO,MANGUINHOS,SANTA CRUZ,INHOAIBA,PARQUE ANCHIETA,HIGIENOPOLIS,GALEAO,TANQUE,JARDIM CARIOCA,OSWALDO CRUZ,CORDOVIL,JACARE,PIEDADE,MARE,CACUIA,RAMOS,QUINTINO BOCAIUVA,BONSUCESSO,PEDRA DE GUARATIBA,SAO FRANCISCO XAVIER,LEME,TURIACU,MEIER,PARADA DE LUCAS,GARDENIA AZUL,PRACA DA BANDEIRA,VILA KOSMOS,SAO CONRADO,MANGUEIRA,CAVALCANTE,SANTA TERESA,TODOS OS SANTOS,RIACHUELO,BENFICA,PARQUE COLUMBIA,HUMAITA,CIDADE NOVA,MARIA DA GRACA,BANCARIOS,HONORIO GURGEL,ROCHA MIRANDA,ACARI,LAGOA,VIGARIO GERAL,ENGENHO DA RAINHA,SAO CRISTOVAO,SEPETIBA,ROCHA,COMPLEXO DA MARE,RECREIO DOS BANDEIRANTES,INHAUMA,GRAJAU,CURICICA,DEL CASTILHO,URCA,COELHO NETO,GAVEA,MADUREIRA,PILARES,GUADALUPE,VARGEM GRANDE,PECHINCHA,COLEGIO,CATUMBI,CAMORIM,ABOLICAO,LINS DE VASCONCELOS,COSTA BARROS,VILA KENNEDY,ESTACIO,ALTO DA BOA VISTA,PITANGUEIRAS,VISTA ALEGRE,ENCANTADO,PORTUGUESA,RIBEIRA,SANTO CRISTO,TOMAS COELHO,COMPLEXO DO ALEMAO,ANDARAI,RICARDO DE ALBUQUERQUE,MAGALHAES BASTOS,VASCO DA GAMA,SAMPAIO,PRAIA DA BANDEIRA,COCOTA,VILA MILITAR,CATETE,VIDIGAL,GAMBOA,VAZ LOBO,CASCADURA,JOA,AGUA SANTA,ZUMBI,BARRA DE GUARATIBA,FREGUESIA-ILHA,CAMPINHO,CIDADE UNIVERSITARIA,CAMPO DOS AFONSOS,ENGENHEIRO LEAL,PAQUETA,SAUDE,Datas
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-17
3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-18
4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-19
5,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-20
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-21
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-22
8,3,1,2,0,1,0,0,2,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-23
9,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-24
